EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Value_of_Employee,Overall_Sentiment,Importance_Level,Eligible_For_Hike,Recommended_Hike_pct,New_MonthlyIncome
181,31,0,2,1,12,3,0,6,4,1,3929,8,1,3,7,0,3,4,2,0,2,7.59,NEUTRAL,Very Important,No,0.0,3929.0
182,34,0,2,1,27,4,0,6,2,2,2311,2,0,4,9,3,3,3,2,1,2,6.29,NEUTRAL,Less Valuable,No,0.0,2311.0
183,41,1,2,2,20,2,0,8,2,2,3140,1,1,4,4,5,2,4,3,0,2,6.97,NEUTRAL,Less Valuable,Yes,12.81,3542.2339999999995
184,50,0,2,1,1,3,1,2,3,1,3690,2,0,4,5,2,2,3,2,0,2,5.83,NEUTRAL,Less Valuable,No,0.0,3690.0
185,53,0,2,1,13,4,0,4,1,0,4450,1,0,3,5,3,3,4,2,1,3,5.46,NEUTRAL,Not Valuable,No,0.0,4450.0
186,33,0,2,1,14,4,0,6,2,1,2756,1,0,4,8,5,3,8,7,1,6,6.76,NEUTRAL,Less Valuable,No,0.0,2756.0
187,40,0,2,1,4,4,0,3,3,1,19033,1,0,2,21,2,3,20,8,9,9,7.37,NEUTRAL,Very Important,No,0.0,19033.0
188,55,0,2,1,14,3,1,5,2,2,18722,8,0,4,36,3,3,24,15,2,15,7.64,NEUTRAL,Very Important,No,0.0,18722.0
189,34,0,1,1,2,4,1,4,3,1,9547,1,0,3,10,2,2,10,9,1,9,5.9,NEUTRAL,Less Valuable,No,0.0,9547.0
190,51,0,2,1,3,4,0,0,2,2,13734,3,0,3,21,6,3,7,7,1,0,6.84,NEUTRAL,Less Valuable,No,0.0,13734.0
191,52,0,2,1,1,3,1,3,3,1,19999,0,0,1,34,5,3,33,18,11,9,7.34,NEUTRAL,Very Important,No,0.0,19999.0
192,27,0,2,1,9,4,0,6,2,2,2279,1,0,4,7,2,2,7,7,0,3,5.87,NEUTRAL,Less Valuable,No,0.0,2279.0
193,35,1,2,1,23,2,1,4,3,1,5916,3,1,1,8,1,3,1,0,0,1,5.96,NEUTRAL,Less Valuable,Yes,6.99,6329.5284
194,43,0,0,1,7,4,1,6,4,0,2089,4,0,4,7,3,4,5,4,2,2,6.29,NEUTRAL,Less Valuable,No,0.0,2089.0
195,45,0,0,1,2,1,1,3,4,1,16792,9,0,4,22,1,3,20,8,11,8,5.97,NEUTRAL,Less Valuable,No,0.0,16792.0
196,37,0,2,1,21,2,1,6,1,1,3564,1,1,1,8,3,2,8,7,1,7,5.27,NEUTRAL,Not Valuable,No,0.0,3564.0
197,35,0,1,1,2,2,0,2,2,2,4425,5,0,4,10,5,3,6,2,1,2,5.17,NEUTRAL,Not Valuable,No,0.0,4425.0
198,42,0,0,1,21,3,0,4,3,0,5265,2,0,2,11,5,3,5,3,0,2,4.57,NEUTRAL,Not Valuable,No,0.0,5265.0
199,38,0,2,1,2,4,1,4,3,1,6553,9,0,2,14,3,3,1,0,0,0,5.96,NEUTRAL,Less Valuable,No,0.0,6553.0
200,38,0,2,1,29,4,1,4,4,1,6261,3,0,1,9,3,1,7,7,1,7,5.69,NEUTRAL,Not Valuable,No,0.0,6261.0
201,27,0,1,1,1,3,1,4,1,1,4298,5,0,3,6,1,3,2,2,2,0,4.04,NEUTRAL,Not Valuable,No,0.0,4298.0
202,49,0,0,1,18,4,1,4,4,0,6804,1,1,1,7,0,3,7,7,1,7,6.29,NEUTRAL,Less Valuable,No,0.0,6804.0
203,34,0,1,1,10,4,1,6,3,0,3815,1,1,4,5,4,4,5,3,2,0,8.22,NEUTRAL,Very Important,No,0.0,3815.0
204,40,0,2,1,19,3,1,2,4,1,2741,8,1,3,15,2,4,7,2,3,7,8.57,NEUTRAL,Very Important,No,0.0,2741.0
205,38,1,2,1,29,2,1,0,1,1,6673,7,1,2,17,2,3,1,0,0,0,5.73,NEUTRAL,Less Valuable,Yes,6.72,7121.4256
206,29,1,2,2,27,2,0,7,4,1,7639,1,0,4,10,3,2,10,4,1,9,6.59,NEUTRAL,Less Valuable,Yes,8.0,8250.12
207,22,0,2,1,5,4,1,6,2,0,2328,1,1,1,4,2,2,4,2,2,2,6.2,NEUTRAL,Less Valuable,No,0.0,2328.0
208,36,0,1,1,18,2,0,2,4,2,2153,1,0,1,8,2,3,8,1,1,7,4.46,NEUTRAL,Not Valuable,No,0.0,2153.0
209,40,0,0,1,9,4,1,0,4,1,4876,9,0,4,5,5,1,3,2,0,2,5.66,NEUTRAL,Not Valuable,No,0.0,4876.0
210,46,0,2,1,1,4,1,0,1,0,9396,7,0,3,17,3,3,4,2,0,3,5.78,NEUTRAL,Less Valuable,No,0.0,9396.0
211,32,1,2,2,4,4,1,7,4,1,10400,1,0,3,14,2,2,14,8,9,8,7.43,NEUTRAL,Very Important,Yes,13.5,11804.0
212,30,0,0,1,1,3,1,4,3,2,8474,1,0,3,12,2,3,11,8,5,8,5.26,NEUTRAL,Not Valuable,No,0.0,8474.0
213,27,0,1,2,20,4,0,7,3,2,9981,1,0,4,7,2,3,7,7,0,7,6.45,NEUTRAL,Less Valuable,No,0.0,9981.0
214,51,0,2,1,8,2,1,5,2,1,12490,5,0,4,16,5,1,10,9,4,7,5.98,NEUTRAL,Less Valuable,No,0.0,12490.0
215,30,1,2,1,3,4,0,6,1,2,2657,5,1,3,8,5,3,5,2,0,4,7.38,NEUTRAL,Very Important,Yes,18.3,3143.231
216,41,0,2,2,6,4,0,3,4,2,13591,3,1,3,16,3,3,1,0,0,0,8.84,NEUTRAL,Very Important,No,0.0,13591.0
217,30,1,1,2,26,3,0,7,1,2,6696,5,0,3,9,5,2,6,3,0,1,4.42,NEUTRAL,Not Valuable,No,0.0,6696.0
218,29,1,2,1,1,3,1,6,3,2,2058,0,0,4,7,1,2,6,2,1,5,5.85,NEUTRAL,Less Valuable,Yes,11.91,2303.1077999999998
219,45,0,0,2,6,4,0,7,4,2,8865,6,0,4,23,2,3,19,7,12,8,7.18,NEUTRAL,Very Important,No,0.0,8865.0
220,54,0,2,2,3,4,0,7,1,1,5940,2,0,4,16,4,3,6,2,0,5,6.31,NEUTRAL,Less Valuable,No,0.0,5940.0
221,36,0,2,1,5,4,1,2,2,2,5914,8,0,4,16,3,4,13,11,3,7,7.21,NEUTRAL,Very Important,No,0.0,5914.0
222,33,0,2,1,4,3,0,6,2,1,2622,6,0,4,7,3,3,3,2,1,1,5.79,NEUTRAL,Less Valuable,No,0.0,2622.0
223,37,0,1,1,11,2,1,5,4,0,12185,1,1,3,10,1,3,10,8,0,7,7.28,NEUTRAL,Very Important,No,0.0,12185.0
224,38,0,2,2,3,1,1,7,3,0,10609,0,0,3,17,6,2,16,10,5,13,6.25,NEUTRAL,Less Valuable,No,0.0,10609.0
225,31,0,0,1,1,3,1,4,3,1,4345,0,0,4,6,2,3,5,4,1,4,5.06,NEUTRAL,Not Valuable,No,0.0,4345.0
226,59,0,2,1,3,3,1,6,4,1,2177,3,0,1,7,6,3,1,0,0,0,5.67,NEUTRAL,Not Valuable,No,0.0,2177.0
227,37,0,1,2,4,1,1,8,4,0,2793,4,0,3,13,2,3,9,8,5,8,5.21,NEUTRAL,Not Valuable,No,0.0,2793.0
228,29,0,1,2,1,2,0,7,4,1,7918,1,0,4,11,5,3,11,10,4,1,6.39,NEUTRAL,Less Valuable,No,0.0,7918.0
229,35,0,1,2,1,3,0,7,3,2,8789,1,0,1,10,3,4,10,7,0,8,5.17,NEUTRAL,Not Valuable,No,0.0,8789.0
230,29,1,2,1,18,3,1,6,4,2,2389,1,1,3,4,3,2,4,3,0,1,7.56,NEUTRAL,Very Important,Yes,17.57,2808.7473
231,52,0,2,1,2,3,0,2,4,2,3212,7,0,2,6,3,2,2,2,2,2,5.62,NEUTRAL,Not Valuable,No,0.0,3212.0
232,42,0,2,1,4,3,1,3,4,1,19232,1,0,4,22,3,3,22,17,11,15,8.75,NEUTRAL,Very Important,No,0.0,19232.0
233,59,0,2,0,6,2,1,1,3,1,2267,8,0,4,7,2,2,2,2,2,2,5.43,NEUTRAL,Not Valuable,No,0.0,2267.0
234,50,0,2,2,1,4,0,3,4,0,19517,3,0,3,32,3,2,7,0,0,6,7.64,NEUTRAL,Very Important,No,0.0,19517.0
235,33,1,2,1,14,3,1,2,4,1,2436,5,1,3,8,2,1,5,4,0,4,7.32,NEUTRAL,Very Important,Yes,17.02,2850.6072
236,43,0,2,2,16,4,0,3,4,1,16064,5,1,3,22,3,3,17,13,1,9,9.59,NEUTRAL,Very Important,No,0.0,16064.0
237,33,1,2,1,2,1,0,2,1,1,2707,7,0,1,13,3,4,9,7,1,7,3.78,NEUTRAL,Not Valuable,No,0.0,2707.0
238,52,0,0,2,2,1,1,3,3,2,19068,1,1,4,33,2,4,33,7,15,12,8.32,NEUTRAL,Very Important,No,0.0,19068.0
239,32,0,2,2,4,3,0,8,2,1,3931,2,0,1,6,5,3,4,3,1,2,4.82,NEUTRAL,Not Valuable,No,0.0,3931.0
240,32,1,2,1,1,4,1,2,3,2,3730,0,1,4,4,2,1,3,2,1,2,7.69,NEUTRAL,Very Important,Yes,15.71,4315.983
241,39,0,2,1,1,3,0,2,3,0,2232,7,0,3,7,1,3,3,2,1,2,5.56,NEUTRAL,Not Valuable,No,0.0,2232.0
242,32,0,0,2,26,3,1,7,4,1,4465,0,0,1,4,2,3,3,2,2,2,4.12,NEUTRAL,Not Valuable,No,0.0,4465.0
243,41,0,2,1,19,3,1,6,1,0,3072,2,0,1,17,2,2,1,0,0,0,3.64,NEUTRAL,Not Valuable,No,0.0,3072.0
244,40,0,2,1,24,1,1,6,4,0,3319,1,0,1,9,3,3,9,8,4,7,4.97,NEUTRAL,Not Valuable,No,0.0,3319.0
245,45,0,2,1,1,3,1,3,4,1,19202,0,0,3,25,2,3,24,0,1,7,7.5,NEUTRAL,Very Important,No,0.0,19202.0
246,31,0,1,1,3,2,1,5,3,0,13675,9,0,1,9,3,3,2,2,2,2,4.39,NEUTRAL,Not Valuable,No,0.0,13675.0
247,33,0,2,1,5,3,0,6,4,1,2911,1,0,3,2,2,2,2,2,0,2,5.76,NEUTRAL,Less Valuable,No,0.0,2911.0
248,34,0,2,1,2,4,1,4,1,1,5957,6,0,2,13,3,3,11,9,5,9,5.67,NEUTRAL,Not Valuable,No,0.0,5957.0
249,37,0,2,1,1,3,0,6,1,1,3920,2,0,1,17,2,2,3,1,0,2,3.77,NEUTRAL,Not Valuable,No,0.0,3920.0
250,45,0,1,1,7,1,1,4,3,1,6434,4,0,4,9,1,3,3,2,0,2,4.63,NEUTRAL,Not Valuable,No,0.0,6434.0
251,37,1,1,1,10,1,1,4,3,0,10048,6,0,2,17,5,3,1,0,0,0,4.45,NEUTRAL,Not Valuable,No,0.0,10048.0
252,39,0,1,1,2,3,0,0,3,2,10938,0,0,4,20,1,3,19,6,11,8,6.75,NEUTRAL,Less Valuable,No,0.0,10938.0
253,29,0,2,1,15,3,1,6,4,2,2340,1,0,1,6,1,3,6,5,1,5,5.27,NEUTRAL,Not Valuable,No,0.0,2340.0
254,42,0,2,1,17,4,0,6,1,2,6545,3,1,3,10,1,3,3,2,0,2,6.93,NEUTRAL,Less Valuable,No,0.0,6545.0
255,29,0,2,2,20,4,1,7,4,0,6931,2,0,4,10,2,3,3,2,0,2,7.23,NEUTRAL,Very Important,No,0.0,6931.0
256,25,0,2,1,1,1,0,4,3,1,4898,0,0,4,5,3,3,4,2,1,2,5.46,NEUTRAL,Not Valuable,No,0.0,4898.0
257,42,0,2,1,2,4,0,2,1,0,2593,0,1,3,10,4,3,9,6,7,8,7.77,NEUTRAL,Very Important,No,0.0,2593.0
258,40,0,2,1,2,1,1,5,3,0,19436,0,0,4,22,5,3,21,7,3,9,7.09,NEUTRAL,Very Important,No,0.0,19436.0
259,51,0,2,1,1,3,1,6,4,1,2723,1,0,2,1,0,2,1,0,0,0,4.95,NEUTRAL,Not Valuable,No,0.0,2723.0
260,31,1,1,1,29,3,1,2,2,2,3479,0,0,2,6,2,4,5,4,1,4,4.59,NEUTRAL,Not Valuable,No,0.0,3479.0
261,32,0,1,1,7,2,1,2,2,1,2794,1,0,3,5,3,1,5,1,0,3,3.73,NEUTRAL,Not Valuable,No,0.0,2794.0
262,38,0,0,2,2,4,1,7,4,1,5249,3,0,4,13,0,3,8,7,7,5,6.17,NEUTRAL,Less Valuable,No,0.0,5249.0
263,32,0,2,1,2,4,1,2,1,2,2176,4,0,4,9,5,3,6,2,0,4,6.15,NEUTRAL,Less Valuable,No,0.0,2176.0
264,46,0,2,2,2,3,0,3,2,1,16872,3,1,2,28,2,2,7,7,7,7,7.55,NEUTRAL,Very Important,No,0.0,16872.0
265,28,1,2,1,2,1,1,2,3,2,3485,2,0,3,5,5,1,0,0,0,0,4.49,NEUTRAL,Not Valuable,No,0.0,3485.0
266,29,0,2,2,2,1,1,7,2,1,6644,2,0,2,10,2,3,0,0,0,0,3.96,NEUTRAL,Not Valuable,No,0.0,6644.0
267,31,0,2,1,23,2,1,0,4,1,5582,0,0,2,10,2,3,9,0,7,8,6.0,NEUTRAL,Less Valuable,No,0.0,5582.0
268,25,0,0,1,5,2,1,0,1,0,4000,1,0,4,6,2,3,6,3,1,5,3.73,NEUTRAL,Not Valuable,No,0.0,4000.0
269,45,0,2,1,20,3,1,0,4,1,13496,0,1,2,21,2,3,20,7,4,10,8.65,NEUTRAL,Very Important,No,0.0,13496.0
270,36,0,2,1,6,4,1,2,4,1,3210,0,0,3,16,4,3,15,13,10,11,7.9,NEUTRAL,Very Important,No,0.0,3210.0
271,55,0,2,1,1,4,1,3,1,2,19045,0,1,3,37,2,3,36,10,4,13,8.89,NEUTRAL,Very Important,No,0.0,19045.0
272,47,1,0,1,29,1,1,3,2,1,11849,1,1,4,10,2,2,10,7,9,9,6.04,NEUTRAL,Less Valuable,Yes,9.5,12974.654999999999
273,28,0,2,1,9,4,1,6,4,1,2070,1,0,4,5,3,2,5,2,0,4,6.9,NEUTRAL,Less Valuable,No,0.0,2070.0
274,37,0,2,2,6,3,1,7,4,1,6502,4,0,2,7,5,4,5,4,0,1,6.51,NEUTRAL,Less Valuable,No,0.0,6502.0
275,21,0,2,1,3,4,1,6,3,2,3230,1,0,1,3,4,4,3,2,1,0,5.72,NEUTRAL,Less Valuable,No,0.0,3230.0
276,37,0,0,1,1,1,0,5,4,0,13603,2,1,1,15,2,3,5,2,0,2,5.35,NEUTRAL,Not Valuable,No,0.0,13603.0
277,35,0,2,1,22,2,0,3,2,0,11996,7,0,2,10,6,2,7,7,6,2,5.29,NEUTRAL,Not Valuable,No,0.0,11996.0
278,38,0,2,2,7,1,0,7,1,0,5605,1,1,3,8,3,3,8,0,7,7,6.34,NEUTRAL,Less Valuable,No,0.0,5605.0
279,26,0,1,1,1,3,0,4,2,0,6397,1,0,1,6,6,1,6,5,1,4,3.95,NEUTRAL,Not Valuable,No,0.0,6397.0
280,50,0,2,1,4,1,1,5,2,0,19144,3,0,1,28,4,2,10,4,1,6,4.63,NEUTRAL,Not Valuable,No,0.0,19144.0
281,53,0,2,1,3,3,1,5,3,1,17584,3,1,4,21,5,2,5,3,1,3,8.79,NEUTRAL,Very Important,No,0.0,17584.0
282,42,0,2,2,1,2,1,7,3,1,4907,1,0,3,20,3,3,20,16,11,6,6.45,NEUTRAL,Less Valuable,No,0.0,4907.0
283,29,0,1,2,2,2,1,7,4,2,4554,1,0,1,10,3,2,10,7,0,9,4.48,NEUTRAL,Not Valuable,No,0.0,4554.0
284,55,0,2,1,20,2,1,2,4,1,5415,3,1,4,12,4,3,10,7,0,8,8.54,NEUTRAL,Very Important,No,0.0,5415.0
285,26,0,1,1,11,1,1,0,1,1,4741,1,1,3,5,3,3,5,3,3,3,5.28,NEUTRAL,Not Valuable,No,0.0,4741.0
286,37,0,2,1,1,4,0,6,4,2,2115,1,0,2,17,3,3,17,12,5,7,6.95,NEUTRAL,Less Valuable,No,0.0,2115.0
287,44,1,1,1,24,4,1,2,3,0,3161,3,1,4,19,0,1,1,0,0,0,6.85,NEUTRAL,Less Valuable,Yes,9.79,3470.4619000000002
288,38,0,2,1,23,4,1,0,4,0,5745,9,0,2,10,2,3,2,2,1,2,6.33,NEUTRAL,Less Valuable,No,0.0,5745.0
289,26,1,2,1,16,1,1,2,2,0,2373,2,1,4,5,2,3,3,2,0,2,6.38,NEUTRAL,Less Valuable,Yes,12.09,2659.8957
290,28,0,2,1,8,4,0,6,4,2,3310,1,0,4,5,3,3,5,3,0,2,7.17,NEUTRAL,Very Important,No,0.0,3310.0
291,49,0,1,1,10,3,0,5,1,2,18665,9,1,4,22,4,3,3,2,1,2,7.4,NEUTRAL,Very Important,No,0.0,18665.0
292,36,0,2,1,3,3,1,6,2,2,4485,4,0,4,10,2,3,8,0,7,7,6.31,NEUTRAL,Less Valuable,No,0.0,4485.0
293,31,0,1,2,5,4,0,8,2,0,2789,1,0,3,2,5,2,2,2,2,2,5.16,NEUTRAL,Not Valuable,No,0.0,2789.0
294,26,1,2,2,4,4,1,7,4,2,5828,1,1,2,8,0,3,8,7,7,4,8.12,NEUTRAL,Very Important,Yes,20.08,6998.2624000000005
295,37,0,1,1,9,2,1,6,4,1,2326,1,1,3,4,3,2,4,2,1,2,6.57,NEUTRAL,Less Valuable,No,0.0,2326.0
296,42,0,1,2,26,3,0,7,2,1,13525,5,0,4,23,2,4,20,4,4,8,6.56,NEUTRAL,Less Valuable,No,0.0,13525.0
297,18,1,2,1,3,3,1,2,3,2,1420,1,0,3,0,2,3,0,0,0,0,5.41,NEUTRAL,Not Valuable,No,0.0,1420.0
298,35,0,2,2,16,3,1,7,2,1,8020,0,0,3,12,3,2,11,9,6,9,5.95,NEUTRAL,Less Valuable,No,0.0,8020.0
299,36,0,1,1,18,3,1,2,4,1,3688,4,0,4,4,2,3,1,0,0,0,5.85,NEUTRAL,Less Valuable,No,0.0,3688.0
300,51,0,2,1,2,4,1,4,2,0,5482,5,0,4,13,3,3,4,1,1,2,6.48,NEUTRAL,Less Valuable,No,0.0,5482.0
301,41,0,2,2,2,4,1,3,2,2,16015,1,0,2,22,2,3,22,10,0,4,6.24,NEUTRAL,Less Valuable,No,0.0,16015.0
302,18,0,2,2,10,4,0,8,3,2,1200,1,0,1,0,2,3,0,0,0,0,4.97,NEUTRAL,Not Valuable,No,0.0,1200.0
303,28,0,2,1,16,2,1,0,1,2,5661,0,0,3,9,2,3,8,3,0,7,4.69,NEUTRAL,Not Valuable,No,0.0,5661.0
304,31,0,2,2,7,2,1,7,4,1,6929,4,0,2,10,3,2,8,7,7,7,5.85,NEUTRAL,Less Valuable,No,0.0,6929.0
305,39,0,2,1,1,3,1,0,4,0,9613,0,0,1,19,5,2,18,10,3,7,6.29,NEUTRAL,Less Valuable,No,0.0,9613.0
306,36,0,0,1,24,2,0,2,2,1,5674,7,0,3,11,3,3,9,8,0,8,4.12,NEUTRAL,Not Valuable,No,0.0,5674.0
307,32,0,2,2,7,4,1,7,3,1,5484,1,0,3,13,3,2,13,8,4,8,6.67,NEUTRAL,Less Valuable,No,0.0,5484.0
308,38,0,2,1,25,1,0,5,2,1,12061,3,0,3,19,2,3,10,8,0,1,4.89,NEUTRAL,Not Valuable,No,0.0,12061.0
309,58,0,0,1,1,4,1,0,3,0,5660,2,1,4,12,2,3,5,3,1,2,7.24,NEUTRAL,Very Important,No,0.0,5660.0
310,31,0,2,1,5,3,1,6,4,1,4821,0,1,3,6,4,3,5,2,0,3,8.2,NEUTRAL,Very Important,No,0.0,4821.0
311,31,0,2,0,2,1,1,1,1,1,6410,3,0,4,9,1,3,2,2,1,0,4.29,NEUTRAL,Not Valuable,No,0.0,6410.0
312,45,0,1,1,7,1,1,2,1,0,5210,1,0,1,24,2,3,24,9,9,11,3.66,NEUTRAL,Not Valuable,No,0.0,5210.0
313,31,0,2,1,2,3,1,6,4,0,2695,0,1,2,3,2,1,2,2,2,2,6.8,NEUTRAL,Less Valuable,No,0.0,2695.0
314,33,0,1,1,5,4,0,3,2,1,11878,6,0,2,12,2,3,10,6,8,8,5.68,NEUTRAL,Not Valuable,No,0.0,11878.0
315,39,0,2,1,10,3,1,3,1,1,17068,1,1,4,21,3,3,21,9,11,10,8.75,NEUTRAL,Very Important,No,0.0,17068.0
316,43,0,1,1,10,3,0,2,4,2,2455,0,0,1,9,5,3,8,7,1,7,5.33,NEUTRAL,Not Valuable,No,0.0,2455.0
317,49,0,2,1,1,3,0,0,3,2,13964,7,1,4,25,2,3,7,1,0,7,8.72,NEUTRAL,Very Important,No,0.0,13964.0
318,52,1,2,1,8,3,1,6,2,1,4941,2,0,1,11,3,2,8,2,7,7,4.87,NEUTRAL,Not Valuable,No,0.0,4941.0
319,27,0,2,1,5,3,0,6,2,2,2478,1,1,2,4,2,2,4,3,1,2,6.15,NEUTRAL,Less Valuable,No,0.0,2478.0
320,32,0,2,2,8,3,0,7,2,1,5228,1,1,4,13,2,3,13,12,11,9,8.36,NEUTRAL,Very Important,No,0.0,5228.0
321,27,0,2,2,2,4,1,7,3,2,4478,1,1,1,5,3,3,5,4,0,4,7.18,NEUTRAL,Very Important,No,0.0,4478.0
322,31,0,2,2,7,4,1,7,4,0,7547,4,0,4,13,3,3,7,7,1,7,7.7,NEUTRAL,Very Important,No,0.0,7547.0
323,32,0,2,1,2,1,0,6,4,2,5055,7,0,3,10,0,2,7,7,0,7,5.04,NEUTRAL,Not Valuable,No,0.0,5055.0
324,28,1,2,1,2,1,1,6,4,1,3464,5,1,4,5,4,2,3,2,2,2,7.42,NEUTRAL,Very Important,Yes,16.98,4052.1872
325,30,0,2,1,28,4,0,6,4,1,5775,1,0,4,11,2,3,10,8,1,9,7.58,NEUTRAL,Very Important,No,0.0,5775.0
326,31,0,1,1,7,3,0,4,3,1,8943,1,0,1,10,2,3,10,9,8,9,5.15,NEUTRAL,Not Valuable,No,0.0,8943.0
327,39,0,1,1,7,3,1,3,4,1,19272,1,0,1,21,2,3,21,9,13,3,6.29,NEUTRAL,Less Valuable,No,0.0,19272.0
328,39,1,2,2,3,4,0,7,3,1,5238,4,1,1,12,3,2,1,0,0,0,6.83,NEUTRAL,Less Valuable,Yes,8.68,5692.6584
329,33,0,1,2,10,2,1,7,4,2,4682,3,0,3,9,6,2,7,7,0,1,5.42,NEUTRAL,Not Valuable,No,0.0,4682.0
330,47,0,2,1,5,4,1,5,3,1,18300,4,0,2,21,2,3,3,2,1,1,6.5,NEUTRAL,Less Valuable,No,0.0,18300.0
331,43,0,1,1,10,3,0,2,3,0,5257,1,0,2,9,3,4,9,7,0,0,5.15,NEUTRAL,Not Valuable,No,0.0,5257.0
332,27,0,0,2,1,3,1,7,2,1,6349,0,1,4,6,0,3,5,4,1,4,6.08,NEUTRAL,Less Valuable,No,0.0,6349.0
333,54,0,1,1,20,4,0,6,3,2,4869,3,0,4,20,4,2,4,3,0,3,6.23,NEUTRAL,Less Valuable,No,0.0,4869.0
334,43,0,2,1,7,3,0,0,1,1,9985,8,0,1,10,1,2,1,0,0,0,3.67,NEUTRAL,Not Valuable,No,0.0,9985.0
335,45,0,2,1,8,4,1,6,4,1,3697,9,0,1,12,3,3,10,9,9,8,6.64,NEUTRAL,Less Valuable,No,0.0,3697.0
336,40,0,2,2,1,2,1,7,4,1,7457,2,1,3,6,2,2,4,3,0,2,7.25,NEUTRAL,Very Important,No,0.0,7457.0
337,29,1,2,1,8,2,1,2,1,1,2119,1,1,4,7,4,2,7,7,0,7,6.6,NEUTRAL,Less Valuable,Yes,14.35,2423.0765
338,29,0,2,1,9,2,1,2,4,2,3983,0,0,3,4,2,3,3,2,2,2,5.78,NEUTRAL,Less Valuable,No,0.0,3983.0
339,30,0,2,2,5,4,0,7,3,0,6118,1,0,3,10,2,3,10,9,1,2,6.41,NEUTRAL,Less Valuable,No,0.0,6118.0
340,27,0,2,2,8,2,0,7,2,1,6214,1,0,1,8,3,3,8,7,0,7,4.41,NEUTRAL,Not Valuable,No,0.0,6214.0
341,37,0,2,1,5,4,1,4,4,0,6347,7,0,3,8,2,2,6,2,0,4,6.55,NEUTRAL,Less Valuable,No,0.0,6347.0
342,38,0,2,1,15,3,1,5,4,0,11510,0,1,2,12,3,3,11,10,2,9,8.35,NEUTRAL,Very Important,No,0.0,11510.0
343,31,0,2,1,7,3,0,4,4,2,7143,1,1,3,11,2,2,11,9,4,10,8.31,NEUTRAL,Very Important,No,0.0,7143.0
344,29,0,2,2,10,4,0,7,2,0,8268,1,1,1,7,2,3,7,7,1,7,6.94,NEUTRAL,Less Valuable,No,0.0,8268.0
345,35,0,2,1,5,3,1,4,2,2,8095,0,0,4,17,5,3,16,6,0,13,6.96,NEUTRAL,Less Valuable,No,0.0,8095.0
346,23,0,2,1,26,3,1,6,4,0,2904,1,0,3,4,2,2,4,2,0,2,5.81,NEUTRAL,Less Valuable,No,0.0,2904.0
347,41,0,2,1,6,4,1,4,2,2,6032,6,1,4,8,3,3,5,4,1,2,8.11,NEUTRAL,Very Important,No,0.0,6032.0
348,47,0,1,2,4,2,1,8,3,2,2976,3,0,1,5,3,3,0,0,0,0,3.73,NEUTRAL,Not Valuable,No,0.0,2976.0
349,42,0,2,1,23,1,0,5,4,2,15992,2,0,2,16,2,3,1,0,0,0,5.35,NEUTRAL,Not Valuable,No,0.0,15992.0
350,29,0,0,2,2,4,1,7,3,1,4649,1,0,1,4,3,2,4,3,0,2,3.88,NEUTRAL,Not Valuable,No,0.0,4649.0
351,42,0,2,0,2,3,1,1,3,0,2696,0,1,3,4,5,3,3,2,1,0,7.67,NEUTRAL,Very Important,No,0.0,2696.0
352,32,0,2,1,2,3,0,2,2,1,2370,1,0,3,8,4,3,8,0,0,7,5.72,NEUTRAL,Less Valuable,No,0.0,2370.0
353,48,0,2,2,29,1,0,3,3,1,12504,3,0,2,15,3,1,0,0,0,0,4.28,NEUTRAL,Not Valuable,No,0.0,12504.0
354,37,0,2,1,6,3,1,6,1,0,5974,4,1,1,13,2,3,7,7,6,7,6.25,NEUTRAL,Less Valuable,No,0.0,5974.0
355,30,0,0,2,25,4,0,7,3,1,4736,7,1,2,4,2,4,2,2,2,2,6.51,NEUTRAL,Less Valuable,No,0.0,4736.0
356,26,0,2,2,1,3,1,7,3,1,5296,1,0,2,8,3,3,8,7,7,7,6.03,NEUTRAL,Less Valuable,No,0.0,5296.0
357,42,0,2,1,2,1,1,0,4,2,6781,3,0,2,14,6,3,1,0,0,0,5.49,NEUTRAL,Not Valuable,No,0.0,6781.0
358,21,1,1,2,1,1,0,8,2,2,2174,1,1,3,3,3,3,3,2,1,2,5.46,NEUTRAL,Not Valuable,No,0.0,2174.0
359,36,0,0,2,1,4,0,7,4,2,6653,4,0,2,7,6,3,1,0,0,0,5.49,NEUTRAL,Not Valuable,No,0.0,6653.0
360,36,0,1,2,3,1,1,7,4,1,9699,4,0,1,16,2,3,13,9,1,12,4.67,NEUTRAL,Not Valuable,No,0.0,9699.0
361,57,0,2,1,1,4,1,0,3,1,6755,2,0,3,15,2,3,3,2,1,2,6.43,NEUTRAL,Less Valuable,No,0.0,6755.0
362,40,0,2,1,10,4,0,2,3,1,2213,3,1,3,10,3,3,7,7,1,7,8.22,NEUTRAL,Very Important,No,0.0,2213.0
363,21,0,0,2,9,1,1,8,4,2,2610,1,0,3,3,3,2,3,2,2,2,3.86,NEUTRAL,Not Valuable,No,0.0,2610.0
